MSZoning,LotFrontage,LotArea,Street,Utilities,LotConfig,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,CentralAir_N,CentralAir_Y,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_N,PavedDrive_P,PavedDrive_Y
3,70.0,11200,1,0,4,19,2,2,2,5,1965,1965,3,1,6,6,0.0,4,1,4,906.0,5,134.0,1040.0,1,0,4,1040,0,1040,1.0,1,0,3,1,5,6,0,5,1965.0,1.0,384.0,4,4,0,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,85.0,11924,1,0,4,16,2,2,5,9,2005,2006,3,1,14,15,286.0,4,2,2,998.0,5,177.0,1175.0,1,0,4,1182,1142,2324,1.0,3,0,4,1,11,6,2,3,2005.0,3.0,736.0,4,4,147,21,0,6,5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
3,68.0,12968,1,0,4,19,2,2,2,5,1962,1962,3,1,6,10,0.0,4,1,0,737.0,5,175.0,912.0,1,4,4,912,0,912,1.0,1,0,2,1,4,6,0,5,1962.0,1.0,352.0,4,4,140,0,0,8,4,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,91.0,10652,1,0,4,5,2,2,2,7,2006,2007,1,1,12,13,306.0,4,2,5,0.0,5,1494.0,1494.0,1,0,4,1494,0,1494,0.0,2,0,3,1,7,6,1,1,2006.0,3.0,840.0,4,4,160,33,0,6,5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3,68.0,10920,1,0,0,12,2,2,2,6,1960,1960,3,1,8,8,212.0,4,1,1,733.0,5,520.0,1253.0,1,4,4,1253,0,1253,1.0,1,1,2,1,5,6,1,1,1960.0,1.0,352.0,4,4,0,213,176,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
4,51.0,6120,1,0,0,3,2,2,1,7,1929,2001,1,1,13,14,0.0,4,0,5,0.0,5,832.0,832.0,1,0,0,854,0,854,0.0,1,0,2,1,5,6,0,5,1991.0,2.0,576.0,4,4,48,112,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,68.0,11241,1,0,1,12,2,2,2,6,1970,1970,1,1,13,14,180.0,4,1,0,578.0,5,426.0,1004.0,1,0,4,1004,0,1004,1.0,1,0,2,1,5,6,1,1,1970.0,2.0,480.0,4,4,0,0,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
3,72.0,10791,1,0,4,19,2,2,2,4,1967,1967,1,1,8,8,0.0,4,3,5,0.0,5,0.0,0.0,1,4,4,1296,0,1296,0.0,2,0,2,2,6,6,0,4,1967.0,2.0,516.0,4,4,0,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,66.0,13695,1,0,4,20,5,2,2,5,2004,2004,1,1,12,13,0.0,4,2,2,646.0,5,468.0,1114.0,1,0,4,1114,0,1114,1.0,1,1,3,1,6,6,0,5,2004.0,2.0,576.0,4,4,0,102,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
3,70.0,7560,1,0,4,12,2,2,2,5,1958,1965,3,1,3,10,0.0,4,1,3,504.0,5,525.0,1029.0,1,4,4,1339,0,1339,0.0,1,0,3,1,6,2,0,1,1958.0,1.0,294.0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,101.0,14215,1,0,0,16,2,2,5,8,2005,2006,1,1,12,13,380.0,4,2,5,0.0,5,1158.0,1158.0,1,0,4,1158,1218,2376,0.0,3,1,4,1,9,6,1,3,2005.0,3.0,853.0,4,4,240,154,0,6,5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
4,57.0,7449,1,0,4,9,2,2,1,7,1930,1950,1,1,13,14,0.0,4,2,5,0.0,5,637.0,637.0,1,0,1,1108,0,1108,0.0,1,0,3,1,6,6,1,1,1930.0,1.0,280.0,4,4,0,0,205,8,4,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
3,75.0,9742,1,0,4,5,2,2,2,8,2002,2002,3,1,12,13,281.0,4,2,5,0.0,5,1777.0,1777.0,1,0,4,1795,0,1795,0.0,2,0,3,1,7,6,1,1,2002.0,2.0,534.0,4,4,171,159,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
4,44.0,4224,1,0,4,10,2,2,2,5,1976,1976,1,1,5,5,0.0,4,2,2,840.0,5,200.0,1040.0,1,4,4,1060,0,1060,1.0,1,0,3,1,6,6,1,1,1976.0,2.0,572.0,4,4,100,110,0,8,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,68.0,8246,1,0,4,19,2,2,2,5,1968,2001,1,1,9,10,0.0,2,1,4,188.0,0,204.0,1060.0,1,0,4,1060,0,1060,1.0,1,0,3,1,6,6,1,1,1968.0,1.0,270.0,4,4,406,90,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
3,110.0,14230,1,0,0,16,2,2,2,8,2007,2007,1,1,12,13,640.0,4,2,5,0.0,5,1566.0,1566.0,1,0,4,1600,0,1600,0.0,2,0,3,1,7,6,1,1,2007.0,3.0,890.0,4,4,0,56,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
3,60.0,7200,1,0,0,12,2,2,2,5,1951,2000,1,1,13,14,0.0,4,1,1,234.0,4,180.0,900.0,1,4,4,900,0,900,0.0,1,0,3,1,5,6,0,5,2005.0,2.0,576.0,4,4,222,32,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
3,98.0,11478,1,0,4,16,2,2,2,8,2007,2008,1,1,12,13,200.0,4,2,2,1218.0,5,486.0,1704.0,1,0,4,1704,0,1704,1.0,2,0,3,1,7,6,1,1,2008.0,3.0,772.0,4,4,0,50,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
3,47.0,16321,1,0,1,12,2,2,2,5,1957,1997,1,1,8,8,0.0,4,1,1,1277.0,5,207.0,1484.0,1,4,4,1600,0,1600,1.0,1,0,2,1,6,6,2,1,1957.0,1.0,319.0,4,4,288,258,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
4,60.0,6324,1,0,4,3,1,7,2,4,1927,1950,1,1,8,8,0.0,4,0,5,0.0,5,520.0,520.0,1,1,4,520,0,520,0.0,1,0,1,1,4,6,0,5,1920.0,1.0,240.0,1,4,49,0,87,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,50.0,8500,1,0,4,9,1,2,5,4,1920,1950,2,1,3,3,0.0,1,0,5,0.0,5,649.0,649.0,1,4,4,649,668,1317,0.0,1,0,3,1,6,6,0,5,1920.0,1.0,250.0,4,1,0,54,172,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
3,68.0,8544,1,0,1,19,2,2,2,5,1966,2006,1,1,6,6,0.0,4,1,5,0.0,5,1228.0,1228.0,1,2,4,1228,0,1228,0.0,1,1,3,1,6,6,0,1,1966.0,1.0,271.0,4,4,0,65,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
3,85.0,11049,1,0,0,5,2,2,2,8,2007,2007,1,1,12,13,0.0,4,2,5,0.0,5,1234.0,1234.0,1,0,4,1234,0,1234,0.0,2,0,3,1,7,6,0,1,2007.0,2.0,484.0,4,4,0,30,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3,70.0,10552,1,0,4,12,2,2,2,5,1959,1959,3,1,3,3,0.0,4,1,4,1018.0,5,380.0,1398.0,1,2,4,1700,0,1700,0.0,1,1,4,1,6,6,1,1,1959.0,2.0,447.0,4,4,0,38,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
3,60.0,7313,1,0,4,16,2,2,2,9,2005,2005,3,1,8,8,246.0,4,2,2,1153.0,5,408.0,1561.0,1,0,4,1561,0,1561,1.0,2,0,2,1,6,6,1,1,2005.0,2.0,556.0,4,4,203,47,0,8,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
3,108.0,13418,1,0,4,16,2,2,5,8,2004,2005,1,1,12,13,132.0,4,2,5,0.0,5,1117.0,1117.0,1,0,4,1132,1320,2452,0.0,3,1,4,1,9,6,1,3,2004.0,3.0,691.0,4,4,113,32,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
3,112.0,10859,1,0,0,5,2,2,2,5,1994,1995,1,1,12,13,0.0,4,2,5,0.0,5,1097.0,1097.0,1,0,4,1097,0,1097,0.0,1,1,3,1,6,6,0,1,1995.0,2.0,672.0,4,4,392,64,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,74.0,8532,1,0,4,12,2,2,2,5,1954,1990,3,1,13,14,650.0,4,1,4,1213.0,5,84.0,1297.0,1,2,4,1297,0,1297,0.0,1,0,3,1,5,6,1,1,1954.0,2.0,498.0,4,4,0,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
3,68.0,7922,1,0,4,12,2,2,2,5,1953,2007,1,1,12,13,0.0,2,1,2,731.0,5,326.0,1057.0,1,4,4,1057,0,1057,1.0,1,0,3,1,5,6,0,5,1953.0,1.0,246.0,4,4,0,52,0,8,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
3,65.0,6040,1,0,4,7,2,2,2,4,1955,1955,1,1,0,10,0.0,4,2,5,0.0,5,0.0,0.0,1,4,2,1152,0,1152,0.0,2,0,2,2,6,6,0,1,1979.0,0.0,0.0,4,4,0,0,0,8,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
3,84.0,8658,1,0,4,12,2,2,2,6,1965,1965,1,1,13,14,101.0,4,1,4,643.0,5,445.0,1088.0,1,0,4,1324,0,1324,0.0,2,0,3,1,6,6,1,1,1965.0,2.0,440.0,4,4,0,138,0,8,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
3,115.0,16905,1,0,4,23,2,2,2,5,1959,1959,1,1,12,13,0.0,2,1,1,967.0,5,383.0,1350.0,1,2,4,1328,0,1328,0.0,1,1,2,1,5,6,2,1,1959.0,1.0,308.0,4,4,0,104,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
3,68.0,9180,1,0,1,20,2,2,6,5,1983,1983,1,1,6,6,0.0,4,1,0,747.0,3,0.0,840.0,1,2,4,884,0,884,1.0,1,0,2,1,5,6,0,1,1983.0,2.0,504.0,4,2,240,0,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
3,68.0,9200,1,0,1,5,2,2,2,5,1975,1980,3,1,12,13,0.0,4,1,3,280.0,1,167.0,938.0,1,4,4,938,0,938,1.0,1,0,3,1,5,6,0,5,1977.0,1.0,308.0,4,4,145,0,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3,70.0,7945,1,0,4,12,2,2,2,5,1959,1959,1,1,3,14,0.0,4,1,0,179.0,1,465.0,1150.0,1,0,0,1150,0,1150,1.0,1,0,3,1,6,6,0,1,1959.0,1.0,300.0,4,4,0,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
3,61.0,7658,1,0,4,16,2,2,2,9,2005,2005,3,1,8,8,412.0,4,2,2,456.0,5,1296.0,1752.0,1,0,4,1752,0,1752,1.0,2,0,2,1,6,6,1,1,2005.0,2.0,576.0,4,4,196,82,0,8,4,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
3,48.0,12822,1,0,1,11,2,2,0,7,2003,2003,1,1,12,13,0.0,4,2,2,1351.0,5,83.0,1434.0,1,0,4,1518,631,2149,1.0,1,1,1,1,6,6,1,1,2003.0,2.0,670.0,4,4,168,43,0,8,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,84.0,11096,1,0,4,21,2,2,2,8,2006,2006,1,1,12,13,0.0,4,2,2,24.0,5,1632.0,1656.0,1,0,4,1656,0,1656,0.0,2,0,3,1,7,6,0,1,2006.0,3.0,826.0,4,4,0,146,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
4,33.0,4456,1,0,4,17,2,2,5,4,1920,2008,1,1,8,8,0.0,4,0,5,0.0,5,736.0,736.0,1,2,4,736,716,1452,0.0,2,0,2,3,8,6,0,1,1979.0,0.0,0.0,4,4,0,0,102,6,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
3,66.0,7742,1,0,4,19,2,2,2,5,1966,1966,1,1,6,6,0.0,4,1,1,763.0,5,192.0,955.0,1,0,4,955,0,955,1.0,1,0,3,1,6,6,0,1,1966.0,1.0,386.0,4,4,0,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,68.0,13869,1,0,0,8,2,2,5,6,1997,1997,1,1,12,13,0.0,4,2,2,182.0,5,612.0,794.0,1,2,4,794,676,1470,0.0,2,0,3,1,6,6,0,1,1997.0,2.0,388.0,4,4,0,75,0,8,4,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
4,52.0,6240,1,0,4,3,2,2,0,6,1934,1950,1,1,13,14,0.0,4,2,5,0.0,5,816.0,816.0,1,4,4,816,0,1176,0.0,1,0,3,1,6,6,1,5,1985.0,2.0,528.0,4,4,112,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
4,110.0,8472,0,0,0,9,8,2,2,5,1963,1963,1,1,13,14,0.0,4,1,3,104.0,2,0.0,816.0,1,4,4,816,0,816,1.0,1,0,2,1,5,6,0,4,1963.0,2.0,516.0,4,4,106,0,0,8,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
3,68.0,50271,1,0,4,24,2,2,2,9,1981,1987,1,7,14,15,0.0,4,1,2,1810.0,5,32.0,1842.0,1,2,4,1842,0,1842,2.0,0,1,0,1,5,6,1,1,1981.0,3.0,894.0,4,4,857,72,0,8,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
3,60.0,7134,1,0,4,12,2,2,7,5,1955,1955,1,1,8,8,0.0,4,1,0,384.0,5,0.0,384.0,1,4,4,1360,0,1360,0.0,1,0,3,1,6,2,1,5,1962.0,2.0,572.0,4,4,0,50,0,8,4,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,100.0,10175,1,0,4,12,2,2,2,6,1964,1964,1,1,6,10,272.0,4,1,1,490.0,5,935.0,1425.0,1,2,4,1425,0,1425,0.0,2,0,3,1,7,6,1,1,1964.0,2.0,576.0,4,4,0,0,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,24.0,2645,1,0,4,21,2,2,5,8,1999,2000,1,1,8,8,456.0,4,2,2,649.0,5,321.0,970.0,1,0,4,983,756,1739,1.0,2,1,3,1,7,6,0,1,1999.0,2.0,480.0,4,4,115,0,0,8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
3,89.0,11645,1,0,0,5,2,2,5,7,2004,2004,1,1,12,13,0.0,4,2,5,0.0,5,860.0,860.0,1,0,4,860,860,1720,0.0,2,1,3,1,7,6,0,1,2004.0,2.0,565.0,4,4,0,70,0,8,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
